match,total_rows,final_goals_l,final_goals_v,final_total_goals,final_xg_l,final_xg_v
panathinaikos-athlitiki-enosi-larissa-apuestas-352,19,1.0,1.0,2.0,1.0342,0.6413
paok-aek-de-atenas-apuestas-35216981,51,0.0,0.0,0.0,1.1632,0.5276
paris-fc-lens-apuestas-35216501,37,0.0,3.0,3.0,0.35,2.7901
parma-verona-apuestas-35215939,64,2.0,1.0,3.0,1.7013,0.8564
pfc-levski-sofia-botev-plovdiv-apuestas-35243302,45,3.0,0.0,3.0,0.0,0.0
pisa-ac-mil%C3%A1n-apuestas-35215846,18,1.0,2.0,3.0,0.7429,2.3518
ponte-preta-s%C3%A3o-paulo-apuestas-35245206,69,1.0,2.0,3.0,0.6525,1.6799
puebla-pumas-unam-apuestas-35216574,64,2.0,3.0,5.0,0.9488,1.9988
rangers-hearts-apuestas-35257649,44,4.0,2.0,6.0,2.1383,0.3574
rayo-vallecano-atl%C3%A9tico-de-madrid-apuestas-35,18,3.0,0.0,3.0,1.5603,1.0994
rb-leipzig-wolfsburgo-apuestas-35217442,42,2.0,2.0,4.0,2.3288,0.5857
reading-wycombe-apuestas-35240945,117,3.0,2.0,5.0,1.0475,1.4673
real-madrid-real-sociedad-apuestas-35216679,45,5.0,1.0,6.0,2.9628,1.4914
red-bull-bragantino-novorizontino-apuestas-3524529,65,2.0,0.0,2.0,1.5562,0.3693
renofa-yamaguchi-mio-biwako-shiga-apuestas-3526582,80,2.0,1.0,3.0,0.0,0.0
rio-ave-moreirense-apuestas-35247028,83,1.0,2.0,3.0,1.1489,0.1732
rosario-central-barracas-central-apuestas-35225085,52,0.0,0.0,0.0,,
santos-velo-clube-sp-apuestas-35245257,62,6.0,0.0,6.0,3.0202,0.413
sao-bernardo-corinthians-apuestas-35245281,55,0.0,1.0,1.0,0.4962,1.1225
sc-telstar-fc-twente-apuestas-35216539,53,1.0,1.0,2.0,1.3223,2.0047
se-palmeiras-guaran%C3%AD-apuestas-35245293,66,1.0,1.0,2.0,2.6802,1.5488
septemvri-montana-apuestas-35243291,89,1.0,0.0,1.0,0.0,0.0
sevilla-alav%C3%A9s-apuestas-35216589,44,1.0,1.0,2.0,0.2692,1.206
sint-truidense-zulte-waregem-apuestas-35245430,49,3.0,2.0,5.0,2.1503,1.0772
sion-fc-basel-apuestas-35234028,68,2.0,0.0,2.0,1.9681,0.7841
sociedad-b-m%C3%A1laga-apuestas-35248844,67,2.0,1.0,3.0,1.3189,0.9884
sonderjyske-silkeborg-apuestas-35244497,73,2.0,1.0,3.0,2.0123,0.533
spartak-varna-lokomotiv-sofia-apuestas-35239864,81,2.0,2.0,4.0,0.0,0.0
sporting-de-lisboa-famalicao-apuestas-35247011,33,1.0,0.0,1.0,2.1514,0.4902
ssd-bari-sudtirol-apuestas-35256352,63,1.0,2.0,3.0,0.48,2.3403
st-gallen-grasshoppers-zurich-apuestas-35256388,22,0.0,0.0,0.0,0.6015,0.2681
standard-de-lieja-union-st-gilloise-apuestas-35245,35,1.0,1.0,2.0,1.2779,1.158
stevenage-huddersfield-apuestas-35240941,120,1.0,0.0,1.0,1.513,0.3229
stoke-fulham-apuestas-35172767,69,1.0,2.0,3.0,0.4131,1.4822
tegevajaro-miyazaki-tottori-apuestas-35265891,78,3.0,1.0,4.0,0.0,0.0
thun-lausanne-apuestas-35244305,63,4.0,1.0,5.0,2.8189,1.143
thun-sion-apuestas-35258535,50,1.0,0.0,1.0,1.0912,0.3936
tochigi-sc-yamagata-apuestas-35265890,82,1.0,2.0,3.0,,
tochigi-uva-fc-blaublitz-akita-apuestas-35265819,81,0.0,1.0,1.0,,
tokushima-albirex-niigata-apuestas-35265824,83,4.0,0.0,4.0,0.0,0.0
torino-bologna-apuestas-35215941,46,1.0,2.0,3.0,0.4896,1.3094
torque-juventud-de-las-piedras-apuestas-35233470,45,0.0,1.0,1.0,0.0,0.0
tosu-kumamoto-apuestas-35265823,80,1.0,1.0,2.0,,
trabzonspor-fenerbahce-apuestas-35242066,24,2.0,3.0,5.0,0.8256,0.7631
udinese-sassuolo-apuestas-35216337,45,1.0,2.0,3.0,0.5352,1.3724
univ-catolica-ecu-juventud-de-las-piedras-apuestas,15,1.0,1.0,2.0,0.668,0.2681
univ-de-concepcion-deportes-concepcion-apuestas-35,44,2.0,1.0,3.0,0.4595,1.1161
us-cremonese-g%C3%A9nova-apuestas-35215933,63,0.0,0.0,0.0,2.1622,1.2482
viborg-brondby-apuestas-35244371,47,1.0,0.0,1.0,0.6987,0.5192
werder-bremen-bayern-m%C3%BAnich-apuestas-35217450,62,0.0,3.0,3.0,0.9803,1.8982
wrexham-ipswich-apuestas-35172758,17,1.0,0.0,1.0,1.3723,1.3551
yellow-red-mechelen-genk-apuestas-35245427,18,2.0,3.0,5.0,1.6633,2.9922
young-boys-winterthur-apuestas-35256390,32,6.0,1.0,7.0,2.5276,0.6653
